created,text,retwc,hashtag,followers,friends
2018-03-06 18:06:17,b'RT @_DCAP: 4 x @Olympics medalist (3GOLD); 41 x World (@ISU_Speed) medalist (12GOLD)!!!!!! @Speedskater01 forever an icon! To the future @S\xe2\x80\xa6',620,None,0,31
2018-03-06 18:06:16,b'RT @Olympics: \xf0\x9f\x98\xae #EXO is going to be tweeting from the @Olympics account - Tweets from #EXO will have the following hashtags/mention\n@weareo\xe2\x80\xa6',92238,EXO,10,204
2018-03-06 18:06:10,b'RT @_DCAP: 4 x @Olympics medalist (3GOLD); 41 x World (@ISU_Speed) medalist (12GOLD)!!!!!! @Speedskater01 forever an icon! To the future @S\xe2\x80\xa6',620,None,0,27
2018-03-06 18:06:08,"b'RT @aintyourputa: CL, a global superstar, had to do her own makeup, fixed her own outfit, and as well had her backup dancers looking for ha\xe2\x80\xa6'",5234,None,355,1752
2018-03-06 18:06:05,"b'RT @spikedonline: ""All competitors are looking for a way to get ahead, from training facilities, diet and equipment to, yes, the latest che\xe2\x80\xa6'",9,None,869,896
2018-03-06 18:06:01,b'RT @Olympics: IOC President Bach responds to #Suho \n@weareoneEXO #EXO\n#\xec\x97\x91\xec\x86\x8c\n#ClosingCeremony   \n#Olympics  \n#PyeongChang2018\nhttps://t.co/1nb\xe2\x80\xa6',55682,Suho,10,204
2018-03-06 18:06:01,"b""RT @USANAinc: Team USANA athlete, @mazdzer has taken the internet by storm since capturing the United States' first Olympic medal in the me\xe2\x80\xa6""",1,None,135,184
2018-03-06 18:05:55,"b""RT @MatthiasCamenz1: Sunday's 90th Academy Awards took place a little later in the year than previous editions because of the Winter Olympi\xe2\x80\xa6""",367,None,1,50
2018-03-06 18:05:52,"b""RT @vadersehun: sehun's fake neck tattoos for the tattoo haters out there #EXO_Olympics https://t.co/faLDDTpi7a""",1,EXO_Olympics,1,37
2018-03-06 18:05:51,"b'RT @aintyourputa: CL, a global superstar, had to do her own makeup, fixed her own outfit, and as well had her backup dancers looking for ha\xe2\x80\xa6'",5234,None,252,205
2018-03-06 18:05:50,"b'RT @aintyourputa: CL, a global superstar, had to do her own makeup, fixed her own outfit, and as well had her backup dancers looking for ha\xe2\x80\xa6'",5234,None,2669,4483
2018-03-06 18:05:48,"b'RT @aintyourputa: CL, a global superstar, had to do her own makeup, fixed her own outfit, and as well had her backup dancers looking for ha\xe2\x80\xa6'",5234,None,85,212
2018-03-06 18:05:47,"b'RT @aintyourputa: CL, a global superstar, had to do her own makeup, fixed her own outfit, and as well had her backup dancers looking for ha\xe2\x80\xa6'",5234,None,77,124
2018-03-06 18:05:44,"b'RT @aintyourputa: CL, a global superstar, had to do her own makeup, fixed her own outfit, and as well had her backup dancers looking for ha\xe2\x80\xa6'",5234,None,372,369
2018-03-06 18:05:44,"b'RT @aintyourputa: CL, a global superstar, had to do her own makeup, fixed her own outfit, and as well had her backup dancers looking for ha\xe2\x80\xa6'",5234,None,189,277
2018-03-06 18:05:43,b'* IOC: Over 3100 doping tests conducted during 2018 Winter Olympic in PyeongChang\xc2\xa0\xc2\xa0TASS * 2018 Winter Olympics main\xe2\x80\xa6 https://t.co/jlRU6IsOks',0,None,100,5
2018-03-06 18:05:38,b'RT @Olympics: \xe2\x80\x9cI LOVE the Olympics\xe2\x80\x9d- #Suho @weareoneEXO\n#EXO\n#\xec\x97\x91\xec\x86\x8c\n#ClosingCeremony https://t.co/lTpj3wRjh2',84602,Suho,10,204
2018-03-06 18:05:36,b'Competition supports Special Olympics - Richmond County Daily Journal https://t.co/387LYaWFBD',0,None,857,686
2018-03-06 18:05:33,"b'RT @onebluemouse: ""Lighting was done to perfection by the same company who was instrumental in doing all the lighting at the PyeongChang Ol\xe2\x80\xa6'",25,None,545,174
2018-03-06 18:05:32,"b'RT @aintyourputa: CL, a global superstar, had to do her own makeup, fixed her own outfit, and as well had her backup dancers looking for ha\xe2\x80\xa6'",5234,None,251,494
2018-03-06 18:05:31,"b'RT @onebluemouse: ""Lighting was done to perfection by the same company who was instrumental in doing all the lighting at the PyeongChang Ol\xe2\x80\xa6'",25,None,53,154
2018-03-06 18:05:31,"b'RT @minsehoek: Italian commentators NEVER shut up during Olympics (bc ofc they\xe2\x80\x99re paid to talk), they keep talking even if someone is perfo\xe2\x80\xa6'",1337,None,63,342
2018-03-06 18:05:30,"b'Ignoring them, like you did at the Olympics, won\xe2\x80\x99t make them go away...... https://t.co/lKL4pXHrUF'",0,None,271,1299
2018-03-06 18:05:29,"b'RT @aintyourputa: CL, a global superstar, had to do her own makeup, fixed her own outfit, and as well had her backup dancers looking for ha\xe2\x80\xa6'",5234,None,376,73
2018-03-06 18:05:23,"b'RT @bradsohner: When a group rides on the prohibited sidewalk or path during the classics, the comissaires say ""what can we do, disqualify\xe2\x80\xa6'",0,None,4098,11
2018-03-06 18:05:23,b'RT @vadersehun: sehun and his son vivi #EXO_Olympics https://t.co/CW0OXs2zq1',1,EXO_Olympics,1,37
